date,session_key,stop_duration,driver_number,lap_number,meeting_key,pit_duration,lane_duration
2023-11-05T17:05:38.680000+00:00,9205,,1,1,1224,18.5,18.5
2023-11-05T17:05:41.227000+00:00,9205,,4,1,1224,19.3,19.3
2023-11-05T17:05:43.508000+00:00,9205,,44,1,1224,18.5,18.5
2023-11-05T17:05:45.993000+00:00,9205,,14,1,1224,18.4,18.4
2023-11-05T17:05:47.336000+00:00,9205,,18,1,1224,18.5,18.5
2023-11-05T17:05:51.383000+00:00,9205,,63,1,1224,20.4,20.4
2023-11-05T17:05:53.665000+00:00,9205,,11,1,1224,20.8,20.8
2023-11-05T17:05:56.914000+00:00,9205,,55,1,1224,23.0,23.0
2023-11-05T17:05:58.024000+00:00,9205,,31,1,1224,22.2,22.2
2023-11-05T17:06:00.914000+00:00,9205,,22,1,1224,20.9,20.9
2023-11-05T17:06:01.961000+00:00,9205,,10,1,1224,20.5,20.5
2023-11-05T17:06:02.774000+00:00,9205,,77,1,1224,20.7,20.7
2023-11-05T17:06:07.227000+00:00,9205,,24,1,1224,21.2,21.2
2023-11-05T17:06:14.461000+00:00,9205,,2,1,1224,27.4,27.4
2023-11-05T17:06:23.945000+00:00,9205,,27,1,1224,34.2,34.2
2023-11-05T17:31:06.038000+00:00,9205,,1,2,1224,1402.6,1402.6
2023-11-05T17:31:09.178000+00:00,9205,,4,2,1224,1404.6,1404.6
2023-11-05T17:31:13.288000+00:00,9205,,44,2,1224,1406.3,1406.3
2023-11-05T17:31:16.631000+00:00,9205,,14,2,1224,1408.1,1408.1
2023-11-05T17:31:20.725000+00:00,9205,,18,2,1224,1409.9,1409.9
2023-11-05T17:31:25.162000+00:00,9205,,63,2,1224,1410.9,1410.9
2023-11-05T17:31:28.194000+00:00,9205,,11,2,1224,1411.7,1411.7
2023-11-05T17:31:31.772000+00:00,9205,,55,2,1224,1413.7,1413.7
2023-11-05T17:31:34.397000+00:00,9205,,31,2,1224,1414.7,1414.7
2023-11-05T17:31:38.428000+00:00,9205,,22,2,1224,1415.4,1415.4
2023-11-05T17:31:41.475000+00:00,9205,,10,2,1224,1416.7,1416.7
2023-11-05T17:31:44.693000+00:00,9205,,77,2,1224,1418.1,1418.1
2023-11-05T17:31:49.693000+00:00,9205,,24,2,1224,1419.9,1419.9
2023-11-05T17:31:52.521000+00:00,9205,,2,2,1224,1421.2,1421.2
2023-11-05T17:31:56.006000+00:00,9205,,27,2,1224,1421.0,1421.0
2023-11-05T17:32:01.021000+00:00,9205,,81,1,1224,1584.0,1584.0
2023-11-05T17:32:05.115000+00:00,9205,,3,1,1224,1576.7,1576.7
2023-11-05T17:34:20.660000+00:00,9205,,81,2,1224,38.4,38.4
2023-11-05T17:34:21.145000+00:00,9205,,3,2,1224,32.7,32.7
2023-11-05T17:48:45.244000+00:00,9205,,31,14,1224,24.0,24.0
2023-11-05T17:50:05.353000+00:00,9205,,24,15,1224,23.9,23.9
2023-11-05T17:52:43.163000+00:00,9205,,2,17,1224,24.3,24.3
2023-11-05T17:53:47.912000+00:00,9205,,44,18,1224,23.5,23.5
2023-11-05T17:53:55.912000+00:00,9205,,77,18,1224,24.0,24.0
2023-11-05T17:55:06.068000+00:00,9205,,63,19,1224,23.7,23.7
2023-11-05T17:56:21.051000+00:00,9205,,11,20,1224,23.1,23.1
2023-11-05T17:57:58.175000+00:00,9205,,27,21,1224,24.4,24.4
2023-11-05T17:58:58.487000+00:00,9205,,18,22,1224,23.5,23.5
2023-11-05T18:02:37.359000+00:00,9205,,14,25,1224,24.2,24.2
2023-11-05T18:03:02.594000+00:00,9205,,81,24,1224,23.5,23.5
2023-11-05T18:04:07.765000+00:00,9205,,55,26,1224,23.5,23.5
2023-11-05T18:04:12.796000+00:00,9205,,10,26,1224,25.2,25.2
2023-11-05T18:04:16.577000+00:00,9205,,22,26,1224,27.1,27.1
2023-11-05T18:04:58.858000+00:00,9205,,1,27,1224,22.9,22.9
2023-11-05T18:05:03.670000+00:00,9205,,4,27,1224,23.8,23.8
2023-11-05T18:05:32.311000+00:00,9205,,3,26,1224,23.9,23.9
2023-11-05T18:10:53.682000+00:00,9205,,31,31,1224,24.4,24.4
2023-11-05T18:27:41.108000+00:00,9205,,2,44,1224,24.1,24.1
2023-11-05T18:28:41.904000+00:00,9205,,63,45,1224,23.9,23.9
2023-11-05T18:29:37.669000+00:00,9205,,11,46,1224,23.5,23.5
2023-11-05T18:29:52.950000+00:00,9205,,44,46,1224,24.0,24.0
2023-11-05T18:29:56.278000+00:00,9205,,10,46,1224,23.5,23.5
2023-11-05T18:30:24.684000+00:00,9205,,27,46,1224,23.8,23.8
2023-11-05T18:30:49.918000+00:00,9205,,14,47,1224,23.8,23.8
2023-11-05T18:36:08.883000+00:00,9205,,55,51,1224,23.7,23.7
2023-11-05T18:36:36.539000+00:00,9205,,31,51,1224,23.5,23.5
2023-11-05T18:37:21.414000+00:00,9205,,18,52,1224,25.2,25.2
2023-11-05T18:39:01.037000+00:00,9205,,81,52,1224,23.3,23.3
2023-11-05T18:41:24.723000+00:00,9205,,22,55,1224,23.4,23.4
2023-11-05T18:41:45.004000+00:00,9205,,1,56,1224,23.3,23.3
2023-11-05T18:42:40.801000+00:00,9205,,3,55,1224,23.5,23.5
2023-11-05T18:45:40.627000+00:00,9205,,4,59,1224,23.6,23.6
