date,session_key,air_temperature,humidity,pressure,wind_direction,meeting_key,rainfall,wind_speed,track_temperature
2023-10-29T19:01:53.120000+00:00,9181,24.7,31.0,781.2,278,1223,0,1.0,47.3
2023-10-29T19:02:53.119000+00:00,9181,24.7,30.0,781.0,289,1223,0,2.5,47.3
2023-10-29T19:03:53.118000+00:00,9181,24.5,29.0,781.2,281,1223,0,1.7,47.2
2023-10-29T19:04:53.117000+00:00,9181,24.5,30.0,781.0,275,1223,0,1.6,47.3
2023-10-29T19:05:53.116000+00:00,9181,24.6,27.0,781.2,257,1223,0,2.0,47.5
2023-10-29T19:06:53.115000+00:00,9181,24.6,26.0,781.0,268,1223,0,1.2,47.6
2023-10-29T19:07:53.130000+00:00,9181,24.4,28.0,781.0,277,1223,0,2.2,47.6
2023-10-29T19:08:53.129000+00:00,9181,24.1,28.0,781.0,288,1223,0,1.6,47.6
2023-10-29T19:09:53.127000+00:00,9181,24.2,29.0,781.0,269,1223,0,1.1,47.1
2023-10-29T19:10:53.126000+00:00,9181,24.2,29.0,781.0,273,1223,0,2.0,47.2
2023-10-29T19:11:53.125000+00:00,9181,24.4,27.0,781.0,271,1223,0,2.2,47.2
2023-10-29T19:12:53.124000+00:00,9181,24.5,28.0,781.0,23,1223,0,1.6,47.0
2023-10-29T19:13:53.139000+00:00,9181,24.5,29.0,781.0,199,1223,0,1.0,46.7
2023-10-29T19:14:53.122000+00:00,9181,24.6,29.0,780.9,286,1223,0,1.0,46.6
2023-10-29T19:15:53.121000+00:00,9181,24.6,29.0,780.9,248,1223,0,0.8,46.9
2023-10-29T19:16:53.136000+00:00,9181,24.5,28.0,780.7,240,1223,0,0.8,47.1
2023-10-29T19:17:53.135000+00:00,9181,24.3,27.0,780.9,249,1223,0,0.8,47.1
2023-10-29T19:18:53.134000+00:00,9181,24.3,27.0,780.7,157,1223,0,1.0,47.3
2023-10-29T19:19:53.133000+00:00,9181,24.2,28.0,780.7,104,1223,0,2.2,47.4
2023-10-29T19:20:53.132000+00:00,9181,24.3,29.0,780.7,115,1223,0,2.5,47.4
2023-10-29T19:21:53.130000+00:00,9181,24.2,29.0,780.7,68,1223,0,4.0,47.8
2023-10-29T19:22:53.129000+00:00,9181,24.2,29.0,780.7,260,1223,0,1.5,47.6
2023-10-29T19:23:53.128000+00:00,9181,24.2,28.0,780.5,117,1223,0,1.2,47.6
2023-10-29T19:24:53.127000+00:00,9181,24.1,28.0,780.5,109,1223,0,2.2,47.6
2023-10-29T19:25:53.142000+00:00,9181,24.2,27.0,780.5,84,1223,0,1.2,47.9
2023-10-29T19:26:53.141000+00:00,9181,24.1,27.0,780.5,112,1223,0,0.6,47.9
2023-10-29T19:27:53.140000+00:00,9181,24.2,27.0,780.5,123,1223,0,2.0,47.8
2023-10-29T19:28:53.139000+00:00,9181,24.3,26.0,780.5,106,1223,0,1.2,48.2
2023-10-29T19:29:53.122000+00:00,9181,24.3,26.0,780.5,106,1223,0,1.2,48.2
2023-10-29T19:30:53.137000+00:00,9181,24.4,26.0,780.5,135,1223,0,1.3,47.8
2023-10-29T19:31:53.136000+00:00,9181,24.4,27.0,780.5,267,1223,0,0.8,47.8
2023-10-29T19:32:53.134000+00:00,9181,24.4,28.0,780.5,243,1223,0,0.5,48.1
2023-10-29T19:33:53.133000+00:00,9181,24.4,29.0,780.5,335,1223,0,0.6,48.1
2023-10-29T19:34:53.148000+00:00,9181,24.3,28.0,780.5,270,1223,0,1.7,48.1
2023-10-29T19:35:53.131000+00:00,9181,24.6,27.0,780.5,254,1223,0,1.5,48.1
2023-10-29T19:36:53.146000+00:00,9181,24.9,26.0,780.4,218,1223,0,1.7,47.7
2023-10-29T19:37:53.145000+00:00,9181,25.0,26.0,780.2,271,1223,0,1.6,47.7
2023-10-29T19:38:53.144000+00:00,9181,25.0,26.0,780.4,237,1223,0,1.3,47.7
2023-10-29T19:39:53.143000+00:00,9181,25.0,27.0,780.4,271,1223,0,1.2,47.7
2023-10-29T19:40:53.142000+00:00,9181,25.0,27.0,780.4,197,1223,0,1.7,47.6
2023-10-29T19:41:53.141000+00:00,9181,24.9,27.0,780.2,288,1223,0,1.1,47.6
2023-10-29T19:42:53.140000+00:00,9181,24.8,28.0,780.4,271,1223,0,1.6,47.7
2023-10-29T19:43:53.154000+00:00,9181,24.7,27.0,780.2,300,1223,0,1.5,47.7
2023-10-29T19:44:53.137000+00:00,9181,24.6,26.0,780.2,285,1223,0,0.6,47.9
2023-10-29T19:45:53.152000+00:00,9181,24.6,26.0,780.2,292,1223,0,1.2,47.9
2023-10-29T19:46:53.151000+00:00,9181,24.8,26.0,780.2,292,1223,0,1.2,47.9
2023-10-29T19:47:53.150000+00:00,9181,24.8,26.0,780.2,292,1223,0,1.2,47.9
2023-10-29T19:48:53.133000+00:00,9181,24.7,26.0,780.2,292,1223,0,1.2,47.9
2023-10-29T19:49:53.148000+00:00,9181,24.7,26.0,780.2,292,1223,0,1.2,47.9
2023-10-29T19:50:53.147000+00:00,9181,24.9,27.0,780.2,321,1223,0,0.8,48.4
2023-10-29T19:51:53.146000+00:00,9181,24.9,27.0,780.0,301,1223,0,0.6,48.1
2023-10-29T19:52:53.145000+00:00,9181,24.9,27.0,780.0,246,1223,0,1.5,47.9
2023-10-29T19:53:53.159000+00:00,9181,24.9,28.0,780.0,342,1223,0,1.2,47.9
2023-10-29T19:54:53.158000+00:00,9181,24.9,28.0,780.0,116,1223,0,0.6,47.7
2023-10-29T19:55:53.157000+00:00,9181,24.9,28.0,780.0,75,1223,0,0.8,47.7
2023-10-29T19:56:53.156000+00:00,9181,24.8,28.0,780.0,135,1223,0,1.0,47.7
2023-10-29T19:57:53.155000+00:00,9181,24.7,28.0,780.0,79,1223,0,1.6,47.7
2023-10-29T19:58:53.154000+00:00,9181,24.7,28.0,780.0,358,1223,0,0.6,47.9
2023-10-29T19:59:53.153000+00:00,9181,24.7,28.0,780.0,338,1223,0,1.1,47.8
2023-10-29T20:00:53.152000+00:00,9181,24.6,28.0,780.0,317,1223,0,1.6,47.8
2023-10-29T20:01:53.151000+00:00,9181,24.6,28.0,780.0,172,1223,0,1.5,47.9
2023-10-29T20:02:53.165000+00:00,9181,24.6,28.0,780.0,148,1223,0,1.5,48.1
2023-10-29T20:03:53.164000+00:00,9181,24.5,28.0,780.0,163,1223,0,1.1,48.1
2023-10-29T20:04:53.163000+00:00,9181,24.5,28.0,779.9,298,1223,0,1.2,48.1
2023-10-29T20:05:53.162000+00:00,9181,24.6,28.0,779.9,220,1223,0,2.5,48.6
2023-10-29T20:06:53.177000+00:00,9181,24.6,27.0,779.9,301,1223,0,0.6,48.6
2023-10-29T20:07:53.176000+00:00,9181,24.8,26.0,779.7,311,1223,0,2.2,48.2
2023-10-29T20:08:53.190000+00:00,9181,24.7,26.0,779.9,295,1223,0,2.5,47.9
2023-10-29T20:09:53.189000+00:00,9181,24.8,26.0,779.7,296,1223,0,2.0,47.5
2023-10-29T20:10:53.188000+00:00,9181,24.9,27.0,779.7,285,1223,0,2.0,47.5
2023-10-29T20:11:53.203000+00:00,9181,25.0,27.0,779.7,306,1223,0,1.3,47.0
2023-10-29T20:12:53.217000+00:00,9181,25.0,27.0,779.7,290,1223,0,2.4,47.0
2023-10-29T20:13:53.216000+00:00,9181,25.1,27.0,779.7,281,1223,0,1.2,47.0
2023-10-29T20:14:53.215000+00:00,9181,25.3,27.0,779.5,294,1223,0,2.2,47.0
2023-10-29T20:15:53.214000+00:00,9181,25.4,28.0,779.7,318,1223,0,2.7,47.2
2023-10-29T20:16:53.213000+00:00,9181,25.4,28.0,779.7,317,1223,0,2.0,47.2
2023-10-29T20:17:53.212000+00:00,9181,25.4,28.0,779.5,143,1223,0,2.0,47.2
