date,session_key,pit_duration,stop_duration,driver_number,meeting_key,lap_number,lane_duration
2023-08-27T14:02:27.004000+00:00,9149,19.3,,55,1217,41,19.3
2023-08-27T14:03:56.940000+00:00,9149,18.8,,4,1217,42,18.8
2023-08-27T14:05:09.704000+00:00,9149,19.0,,31,1217,43,19.0
2023-08-27T14:06:21.547000+00:00,9149,19.6,,23,1217,44,19.6
2023-08-27T14:07:17.874000+00:00,9149,18.7,,11,1217,45,18.7
2023-08-27T14:07:46.827000+00:00,9149,19.3,,44,1217,45,19.3
2023-08-27T14:08:47.607000+00:00,9149,25.4,,10,1217,46,25.4
2023-08-27T14:09:05.747000+00:00,9149,19.1,,81,1217,46,19.1
2023-08-27T14:09:28.965000+00:00,9149,19.1,,40,1217,46,19.1
2023-08-27T14:10:38.230000+00:00,9149,20.2,,77,1217,47,20.2
2023-08-27T14:11:16.807000+00:00,9149,25.1,,14,1217,48,25.1
2023-08-27T14:11:51.900000+00:00,9149,19.7,,27,1217,48,19.7
2023-08-27T14:12:11.416000+00:00,9149,18.7,,1,1217,49,18.7
2023-08-27T14:26:05.432000+00:00,9149,19.7,,77,1217,59,19.7
2023-08-27T14:26:08.760000+00:00,9149,19.3,,40,1217,59,19.3
2023-08-27T14:26:28.650000+00:00,9149,27.5,,11,1217,60,27.5
2023-08-27T14:26:42.119000+00:00,9149,20.4,,10,1217,60,20.4
2023-08-27T14:26:43.384000+00:00,9149,19.8,,55,1217,60,19.8
2023-08-27T14:26:51.822000+00:00,9149,20.7,,44,1217,60,20.7
2023-08-27T14:26:55.759000+00:00,9149,19.8,,4,1217,60,19.8
2023-08-27T14:26:58.603000+00:00,9149,24.0,,63,1217,60,24.0
2023-08-27T14:27:03.572000+00:00,9149,22.3,,81,1217,60,22.3
2023-08-27T14:27:11.837000+00:00,9149,20.6,,22,1217,60,20.6
2023-08-27T14:27:15.899000+00:00,9149,21.4,,24,1217,60,21.4
2023-08-27T14:27:20.165000+00:00,9149,21.5,,18,1217,60,21.5
2023-08-27T14:27:22.821000+00:00,9149,23.5,,27,1217,60,23.5
2023-08-27T14:27:30.852000+00:00,9149,19.4,,1,1217,61,19.4
2023-08-27T14:27:33.274000+00:00,9149,23.5,,20,1217,60,23.5
2023-08-27T14:27:56.493000+00:00,9149,20.6,,14,1217,61,20.6
2023-08-27T14:28:18.914000+00:00,9149,21.3,,23,1217,61,21.3
2023-08-27T14:28:25.758000+00:00,9149,22.0,,31,1217,61,22.0
2023-08-27T14:30:47.349000+00:00,9149,20.4,,1,1217,63,20.4
2023-08-27T15:12:06.164000+00:00,9149,2461.6,,11,1217,63,2461.6
2023-08-27T15:12:12.539000+00:00,9149,2443.2,,4,1217,63,2443.2
2023-08-27T15:12:18.554000+00:00,9149,2446.2,,63,1217,63,2446.2
2023-08-27T15:12:21.820000+00:00,9149,2443.4,,23,1217,63,2443.4
2023-08-27T15:12:24.242000+00:00,9149,2434.6,,81,1217,63,2434.6
2023-08-27T15:12:25.992000+00:00,9149,2432.2,,31,1217,63,2432.2
2023-08-27T15:12:29.304000+00:00,9149,2414.8,,22,1217,63,2414.8
2023-08-27T15:12:31.914000+00:00,9149,2410.7,,18,1217,63,2410.7
2023-08-27T15:12:33.789000+00:00,9149,2410.7,,27,1217,63,2410.7
2023-08-27T15:12:35.367000+00:00,9149,2405.1,,77,1217,63,2405.1
2023-08-27T15:12:40.054000+00:00,9149,2396.3,,40,1217,63,2396.3
2023-08-27T15:12:43.601000+00:00,9149,2394.7,,20,1217,63,2394.7
2023-08-27T15:14:14.599000+00:00,9149,2483.3,,1,1217,64,2483.3
2023-08-27T15:14:17.943000+00:00,9149,2455.3,,14,1217,64,2455.3
2023-08-27T15:14:22.318000+00:00,9149,35.5,,11,1217,64,35.5
2023-08-27T15:14:23.771000+00:00,9149,2443.1,,10,1217,64,2443.1
2023-08-27T15:14:28.224000+00:00,9149,2443.1,,55,1217,64,2443.1
2023-08-27T15:14:31.490000+00:00,9149,2431.1,,44,1217,64,2431.1
2023-08-27T15:14:33.974000+00:00,9149,44.2,,4,1217,64,44.2
2023-08-27T15:14:39.849000+00:00,9149,39.8,,63,1217,64,39.8
2023-08-27T15:14:42.474000+00:00,9149,39.2,,23,1217,64,39.2
2023-08-27T15:14:45.818000+00:00,9149,38.4,,81,1217,64,38.4
2023-08-27T15:14:47.396000+00:00,9149,37.0,,31,1217,64,37.0
2023-08-27T15:14:49.646000+00:00,9149,34.9,,22,1217,64,34.9
2023-08-27T15:14:51.458000+00:00,9149,33.5,,18,1217,64,33.5
2023-08-27T15:14:53.239000+00:00,9149,32.8,,27,1217,64,32.8
2023-08-27T15:14:55.083000+00:00,9149,32.5,,77,1217,64,32.5
2023-08-27T15:14:59.661000+00:00,9149,31.3,,40,1217,64,31.3
2023-08-27T15:15:02.755000+00:00,9149,30.6,,20,1217,64,30.6
2023-08-27T15:21:14.482000+00:00,9149,22.3,,63,1217,67,22.3
