date,session_key,humidity,pressure,air_temperature,wind_direction,wind_speed,meeting_key,track_temperature,rainfall
2023-11-26T12:01:07.296000+00:00,9197,49.0,1014.4,27.7,358,3.0,1226,38.2,0
2023-11-26T12:02:07.295000+00:00,9197,49.0,1014.2,27.7,285,2.2,1226,38.2,0
2023-11-26T12:03:07.310000+00:00,9197,49.0,1014.2,27.7,272,3.0,1226,38.2,0
2023-11-26T12:04:07.309000+00:00,9197,50.0,1014.4,27.7,266,2.2,1226,38.2,0
2023-11-26T12:05:07.308000+00:00,9197,48.0,1014.2,27.6,341,2.2,1226,38.2,0
2023-11-26T12:06:07.308000+00:00,9197,49.0,1014.2,27.6,287,2.7,1226,37.6,0
2023-11-26T12:07:07.307000+00:00,9197,50.0,1014.4,27.6,306,2.7,1226,37.8,0
2023-11-26T12:08:07.306000+00:00,9197,50.0,1014.4,27.6,276,2.7,1226,37.8,0
2023-11-26T12:09:07.306000+00:00,9197,51.0,1014.2,27.5,330,2.5,1226,37.7,0
2023-11-26T12:10:07.305000+00:00,9197,51.0,1014.5,27.5,256,2.5,1226,37.6,0
2023-11-26T12:11:07.304000+00:00,9197,50.0,1014.4,27.5,270,2.5,1226,37.4,0
2023-11-26T12:12:07.304000+00:00,9197,50.0,1014.4,27.5,272,0.8,1226,37.4,0
2023-11-26T12:13:07.303000+00:00,9197,50.0,1014.4,27.5,18,1.8,1226,37.3,0
2023-11-26T12:14:07.302000+00:00,9197,50.0,1014.5,27.6,260,2.0,1226,37.5,0
2023-11-26T12:15:07.317000+00:00,9197,50.0,1014.4,27.6,297,2.2,1226,37.3,0
2023-11-26T12:16:07.316000+00:00,9197,50.0,1014.5,27.6,284,2.0,1226,37.1,0
2023-11-26T12:17:07.316000+00:00,9197,50.0,1014.4,27.5,278,2.0,1226,36.8,0
2023-11-26T12:18:07.315000+00:00,9197,50.0,1014.4,27.5,267,1.7,1226,36.8,0
2023-11-26T12:19:07.314000+00:00,9197,50.0,1014.4,27.6,281,2.4,1226,36.7,0
2023-11-26T12:20:07.314000+00:00,9197,50.0,1014.4,27.6,345,2.0,1226,36.5,0
2023-11-26T12:21:07.313000+00:00,9197,51.0,1014.2,27.5,288,2.2,1226,36.5,0
2023-11-26T12:22:07.312000+00:00,9197,49.0,1014.2,27.5,263,2.4,1226,36.6,0
2023-11-26T12:23:07.312000+00:00,9197,50.0,1014.4,27.5,339,1.5,1226,35.9,0
2023-11-26T12:24:07.311000+00:00,9197,49.0,1014.4,27.5,2,1.8,1226,35.9,0
2023-11-26T12:25:07.310000+00:00,9197,49.0,1014.4,27.5,323,2.2,1226,36.4,0
2023-11-26T12:26:07.310000+00:00,9197,48.0,1014.4,27.5,295,2.0,1226,36.4,0
2023-11-26T12:27:07.309000+00:00,9197,48.0,1014.4,27.5,297,1.2,1226,35.5,0
2023-11-26T12:28:07.324000+00:00,9197,49.0,1014.4,27.5,294,1.3,1226,35.8,0
2023-11-26T12:29:07.323000+00:00,9197,49.0,1014.5,27.5,247,1.8,1226,35.8,0
2023-11-26T12:30:07.322000+00:00,9197,48.0,1014.5,27.5,317,1.8,1226,35.8,0
2023-11-26T12:31:07.322000+00:00,9197,48.0,1014.5,27.5,282,2.0,1226,35.6,0
2023-11-26T12:32:07.321000+00:00,9197,49.0,1014.5,27.4,256,1.8,1226,35.6,0
2023-11-26T12:33:07.320000+00:00,9197,49.0,1014.5,27.4,256,1.8,1226,35.6,0
2023-11-26T12:34:07.320000+00:00,9197,49.0,1014.7,27.4,275,2.0,1226,35.5,0
2023-11-26T12:35:07.319000+00:00,9197,49.0,1014.5,27.4,343,1.7,1226,35.5,0
2023-11-26T12:36:07.318000+00:00,9197,49.0,1014.5,27.4,250,1.7,1226,35.5,0
2023-11-26T12:37:07.318000+00:00,9197,49.0,1014.5,27.4,281,2.2,1226,35.4,0
2023-11-26T12:38:07.333000+00:00,9197,50.0,1014.5,27.3,301,2.4,1226,35.4,0
2023-11-26T12:39:07.332000+00:00,9197,50.0,1014.7,27.3,278,2.0,1226,35.3,0
2023-11-26T12:40:07.331000+00:00,9197,50.0,1014.5,27.3,297,1.2,1226,35.1,0
2023-11-26T12:41:07.331000+00:00,9197,49.0,1014.5,27.3,325,2.2,1226,35.1,0
2023-11-26T12:42:07.330000+00:00,9197,48.0,1014.7,27.3,314,2.2,1226,34.8,0
2023-11-26T12:43:07.329000+00:00,9197,49.0,1014.7,27.3,284,2.0,1226,34.8,0
2023-11-26T12:44:07.329000+00:00,9197,48.0,1014.7,27.3,308,1.7,1226,34.7,0
2023-11-26T12:45:07.328000+00:00,9197,48.0,1014.7,27.3,297,2.2,1226,34.7,0
2023-11-26T12:46:07.327000+00:00,9197,49.0,1014.7,27.3,271,1.7,1226,34.6,0
2023-11-26T12:47:07.326000+00:00,9197,49.0,1014.7,27.3,275,1.8,1226,34.6,0
2023-11-26T12:48:07.326000+00:00,9197,50.0,1014.7,27.3,269,2.0,1226,34.4,0
2023-11-26T12:49:07.325000+00:00,9197,49.0,1014.7,27.3,269,1.7,1226,34.3,0
2023-11-26T12:50:07.324000+00:00,9197,49.0,1014.7,27.3,308,1.8,1226,34.3,0
2023-11-26T12:51:07.324000+00:00,9197,49.0,1014.7,27.3,271,1.8,1226,34.4,0
2023-11-26T12:52:07.339000+00:00,9197,50.0,1014.7,27.3,266,1.5,1226,34.4,0
2023-11-26T12:53:07.338000+00:00,9197,49.0,1014.7,27.3,265,1.8,1226,34.4,0
2023-11-26T12:54:07.337000+00:00,9197,49.0,1014.7,27.3,266,1.7,1226,34.4,0
2023-11-26T12:55:07.337000+00:00,9197,49.0,1014.7,27.2,286,1.5,1226,34.3,0
2023-11-26T12:56:07.336000+00:00,9197,49.0,1014.7,27.2,288,1.6,1226,34.3,0
2023-11-26T12:57:07.335000+00:00,9197,50.0,1014.7,27.2,257,1.8,1226,34.0,0
2023-11-26T12:58:07.335000+00:00,9197,49.0,1014.7,27.2,293,2.2,1226,33.6,0
2023-11-26T12:59:07.334000+00:00,9197,50.0,1014.7,27.2,273,1.7,1226,33.7,0
2023-11-26T13:00:07.333000+00:00,9197,50.0,1014.9,27.2,290,1.8,1226,33.7,0
2023-11-26T13:01:07.348000+00:00,9197,49.0,1014.9,27.1,284,2.0,1226,33.7,0
2023-11-26T13:02:07.332000+00:00,9197,49.0,1015.0,27.1,273,1.8,1226,33.6,0
2023-11-26T13:03:07.347000+00:00,9197,49.0,1014.9,27.0,309,2.2,1226,33.6,0
2023-11-26T13:04:07.346000+00:00,9197,49.0,1014.7,27.1,345,2.0,1226,33.6,0
2023-11-26T13:05:07.345000+00:00,9197,49.0,1014.7,27.0,263,2.4,1226,33.6,0
2023-11-26T13:06:07.345000+00:00,9197,51.0,1014.9,27.0,359,1.7,1226,33.4,0
2023-11-26T13:07:07.344000+00:00,9197,49.0,1014.9,27.1,344,1.7,1226,33.7,0
