date,session_key,humidity,pressure,rainfall,track_temperature,wind_speed,meeting_key,wind_direction,air_temperature
2023-04-30T10:01:11.577000+00:00,9070,52.0,1009.5,0,42.5,1.6,1207,15,23.9
2023-04-30T10:02:11.576000+00:00,9070,53.0,1009.5,0,42.5,1.0,1207,50,23.9
2023-04-30T10:03:11.575000+00:00,9070,52.0,1009.5,0,42.5,1.0,1207,59,24.0
2023-04-30T10:04:11.589000+00:00,9070,51.0,1009.5,0,42.5,0.6,1207,54,23.9
2023-04-30T10:05:11.604000+00:00,9070,50.0,1009.4,0,42.7,1.5,1207,30,24.0
2023-04-30T10:06:11.603000+00:00,9070,50.0,1009.5,0,42.6,1.1,1207,0,24.0
2023-04-30T10:07:11.602000+00:00,9070,50.0,1009.5,0,42.6,0.6,1207,255,24.1
2023-04-30T10:08:11.600000+00:00,9070,51.0,1009.5,0,42.6,0.8,1207,187,24.1
2023-04-30T10:09:11.599000+00:00,9070,50.0,1009.5,0,42.9,1.7,1207,162,24.0
2023-04-30T10:10:11.614000+00:00,9070,50.0,1009.5,0,42.9,1.7,1207,162,24.0
2023-04-30T10:11:11.597000+00:00,9070,50.0,1009.4,0,43.3,1.1,1207,115,24.2
2023-04-30T10:12:11.643000+00:00,9070,50.0,1009.4,0,43.7,0.8,1207,41,24.3
2023-04-30T10:13:11.626000+00:00,9070,50.0,1009.4,0,43.7,0.8,1207,41,24.3
2023-04-30T10:14:11.641000+00:00,9070,50.0,1009.2,0,43.7,1.0,1207,93,24.3
2023-04-30T10:15:11.655000+00:00,9070,50.0,1009.4,0,44.0,1.7,1207,197,24.4
2023-04-30T10:16:11.654000+00:00,9070,49.0,1009.4,0,43.6,1.8,1207,186,24.5
2023-04-30T10:17:11.653000+00:00,9070,49.0,1009.4,0,43.5,1.7,1207,112,24.5
2023-04-30T10:18:11.652000+00:00,9070,51.0,1009.2,0,43.2,0.6,1207,178,24.6
2023-04-30T10:19:11.651000+00:00,9070,51.0,1009.2,0,43.2,0.8,1207,353,24.5
2023-04-30T10:20:11.666000+00:00,9070,50.0,1009.2,0,43.8,1.5,1207,4,24.3
2023-04-30T10:21:11.664000+00:00,9070,51.0,1009.2,0,44.0,1.2,1207,41,24.2
2023-04-30T10:22:11.663000+00:00,9070,50.0,1009.2,0,43.2,0.8,1207,0,24.3
2023-04-30T10:23:11.678000+00:00,9070,48.0,1009.2,0,44.2,1.1,1207,62,24.4
2023-04-30T10:24:11.677000+00:00,9070,48.0,1009.2,0,44.2,1.2,1207,28,24.4
2023-04-30T10:25:11.691000+00:00,9070,49.0,1009.4,0,43.7,1.1,1207,49,24.4
2023-04-30T10:26:11.690000+00:00,9070,50.0,1009.2,0,41.3,1.0,1207,42,24.4
2023-04-30T10:27:11.689000+00:00,9070,50.0,1009.2,0,41.8,0.8,1207,149,24.5
2023-04-30T10:28:11.688000+00:00,9070,49.0,1009.2,0,43.5,1.2,1207,213,24.5
2023-04-30T10:29:11.687000+00:00,9070,49.0,1009.2,0,43.8,1.1,1207,195,24.5
2023-04-30T10:30:11.686000+00:00,9070,50.0,1009.0,0,43.2,1.1,1207,324,24.5
2023-04-30T10:31:11.700000+00:00,9070,50.0,1009.2,0,42.7,1.2,1207,33,24.5
2023-04-30T10:32:11.684000+00:00,9070,50.0,1009.2,0,42.2,1.1,1207,61,24.5
2023-04-30T10:33:11.714000+00:00,9070,51.0,1009.0,0,41.1,1.7,1207,50,24.5
2023-04-30T10:34:11.682000+00:00,9070,52.0,1009.0,0,40.4,1.5,1207,1,24.5
2023-04-30T10:35:11.680000+00:00,9070,53.0,1009.0,0,41.0,0.8,1207,0,24.5
2023-04-30T10:36:11.679000+00:00,9070,52.0,1009.0,0,41.1,0.6,1207,48,24.4
2023-04-30T10:37:11.678000+00:00,9070,51.0,1009.0,0,41.1,0.8,1207,304,24.4
2023-04-30T10:38:11.677000+00:00,9070,50.0,1008.7,0,43.2,0.8,1207,19,24.4
2023-04-30T10:39:11.707000+00:00,9070,48.0,1009.0,0,43.8,1.1,1207,348,24.5
2023-04-30T10:40:11.691000+00:00,9070,50.0,1009.0,0,41.8,1.6,1207,349,24.5
2023-04-30T10:41:11.690000+00:00,9070,52.0,1009.0,0,41.0,1.7,1207,38,24.5
2023-04-30T10:42:11.704000+00:00,9070,53.0,1008.9,0,41.0,1.7,1207,74,24.3
2023-04-30T10:43:11.687000+00:00,9070,52.0,1008.9,0,42.1,1.3,1207,24,24.3
2023-04-30T10:44:11.686000+00:00,9070,51.0,1008.7,0,43.7,0.0,1207,74,24.4
2023-04-30T10:45:11.685000+00:00,9070,51.0,1008.7,0,43.9,0.8,1207,67,24.4
2023-04-30T10:46:11.684000+00:00,9070,49.0,1008.7,0,43.9,0.8,1207,79,24.4
2023-04-30T10:47:11.683000+00:00,9070,48.0,1008.7,0,44.8,1.5,1207,121,24.5
2023-04-30T10:48:11.682000+00:00,9070,48.0,1008.7,0,44.8,1.0,1207,216,24.6
2023-04-30T10:49:11.681000+00:00,9070,48.0,1008.7,0,44.1,0.6,1207,65,24.6
2023-04-30T10:50:11.680000+00:00,9070,48.0,1008.7,0,43.7,1.3,1207,116,24.7
2023-04-30T10:51:11.679000+00:00,9070,49.0,1008.7,0,43.3,0.6,1207,341,24.7
2023-04-30T10:52:11.678000+00:00,9070,49.0,1008.7,0,42.8,1.3,1207,40,24.6
2023-04-30T10:53:11.692000+00:00,9070,50.0,1008.7,0,42.7,1.3,1207,19,24.7
2023-04-30T10:54:11.691000+00:00,9070,51.0,1008.7,0,41.5,1.2,1207,80,24.6
2023-04-30T10:55:11.784000+00:00,9070,52.0,1008.7,0,41.7,1.7,1207,43,24.5
2023-04-30T10:56:11.783000+00:00,9070,52.0,1008.9,0,41.9,1.5,1207,86,24.4
2023-04-30T10:57:11.797000+00:00,9070,51.0,1008.9,0,42.2,1.1,1207,76,24.4
2023-04-30T10:58:11.796000+00:00,9070,50.0,1008.7,0,42.2,1.1,1207,196,24.4
2023-04-30T10:59:11.795000+00:00,9070,50.0,1008.7,0,42.7,0.6,1207,340,24.5
2023-04-30T11:00:11.810000+00:00,9070,50.0,1008.7,0,42.7,0.6,1207,175,24.6
2023-04-30T11:01:11.808000+00:00,9070,50.0,1008.7,0,43.2,1.0,1207,193,24.6
2023-04-30T11:02:11.823000+00:00,9070,50.0,1008.7,0,43.8,2.0,1207,193,24.6
2023-04-30T11:03:11.822000+00:00,9070,49.0,1008.9,0,43.4,1.7,1207,245,24.7
2023-04-30T11:04:11.805000+00:00,9070,49.0,1008.7,0,43.4,0.8,1207,50,24.9
2023-04-30T11:05:11.804000+00:00,9070,49.0,1008.7,0,43.3,1.0,1207,195,25.1
2023-04-30T11:06:11.803000+00:00,9070,50.0,1008.7,0,43.3,2.2,1207,174,25.0
2023-04-30T11:07:11.818000+00:00,9070,49.0,1008.7,0,42.9,1.2,1207,222,25.0
2023-04-30T11:08:11.832000+00:00,9070,49.0,1008.7,0,43.1,1.3,1207,160,25.0
2023-04-30T11:09:11.815000+00:00,9070,49.0,1008.7,0,43.1,0.4,1207,16,25.0
2023-04-30T11:10:11.814000+00:00,9070,49.0,1008.7,0,43.1,1.0,1207,9,24.9
2023-04-30T11:11:11.829000+00:00,9070,50.0,1008.7,0,43.0,1.1,1207,233,24.9
2023-04-30T11:12:11.812000+00:00,9070,50.0,1008.5,0,43.2,0.8,1207,138,25.0
2023-04-30T11:13:11.811000+00:00,9070,49.0,1008.5,0,43.3,1.0,1207,275,25.0
2023-04-30T11:14:11.810000+00:00,9070,49.0,1008.5,0,43.3,0.6,1207,154,24.8
