date,session_key,air_temperature,track_temperature,humidity,pressure,wind_direction,meeting_key,wind_speed,rainfall
2023-09-24T04:01:23.491000+00:00,9173,27.3,45.8,46.0,1013.2,109,1220,2.0,0
2023-09-24T04:02:23.474000+00:00,9173,27.3,46.4,46.0,1013.2,118,1220,2.4,0
2023-09-24T04:03:23.489000+00:00,9173,27.3,46.4,45.0,1013.2,124,1220,2.7,0
2023-09-24T04:04:23.488000+00:00,9173,27.5,46.2,46.0,1013.2,117,1220,2.7,0
2023-09-24T04:05:23.487000+00:00,9173,27.7,45.8,45.0,1013.2,117,1220,2.0,0
2023-09-24T04:06:23.486000+00:00,9173,27.7,46.4,45.0,1013.2,121,1220,1.8,0
2023-09-24T04:07:23.485000+00:00,9173,27.7,46.5,44.0,1013.2,125,1220,2.7,0
2023-09-24T04:08:23.484000+00:00,9173,27.5,45.9,44.0,1013.2,101,1220,3.0,0
2023-09-24T04:09:23.483000+00:00,9173,27.5,45.7,45.0,1013.2,116,1220,1.2,0
2023-09-24T04:10:23.481000+00:00,9173,27.5,45.7,45.0,1013.2,144,1220,2.0,0
2023-09-24T04:11:23.480000+00:00,9173,27.6,46.7,44.0,1013.0,124,1220,2.0,0
2023-09-24T04:12:23.479000+00:00,9173,27.6,46.5,43.0,1013.0,112,1220,2.7,0
2023-09-24T04:13:23.494000+00:00,9173,27.5,46.1,44.0,1013.2,112,1220,1.7,0
2023-09-24T04:14:23.493000+00:00,9173,27.5,45.6,45.0,1013.0,115,1220,1.7,0
2023-09-24T04:15:23.492000+00:00,9173,27.5,45.6,44.0,1013.0,107,1220,2.5,0
2023-09-24T04:16:23.491000+00:00,9173,27.5,45.9,43.0,1013.0,108,1220,2.4,0
2023-09-24T04:17:23.490000+00:00,9173,27.5,46.1,43.0,1013.0,125,1220,2.7,0
2023-09-24T04:18:23.489000+00:00,9173,27.4,46.0,43.0,1013.0,112,1220,2.5,0
2023-09-24T04:19:23.472000+00:00,9173,27.4,45.8,43.0,1013.0,114,1220,2.5,0
2023-09-24T04:20:23.486000+00:00,9173,27.5,46.1,42.0,1013.0,136,1220,2.5,0
2023-09-24T04:21:23.485000+00:00,9173,27.6,46.1,42.0,1013.0,112,1220,2.0,0
2023-09-24T04:22:23.484000+00:00,9173,27.6,46.2,41.0,1013.0,104,1220,1.7,0
2023-09-24T04:23:23.499000+00:00,9173,27.6,46.2,41.0,1013.0,100,1220,1.8,0
2023-09-24T04:24:23.498000+00:00,9173,27.6,46.0,41.0,1013.0,86,1220,1.7,0
2023-09-24T04:25:23.481000+00:00,9173,27.6,46.0,42.0,1013.0,123,1220,1.6,0
2023-09-24T04:26:23.496000+00:00,9173,27.5,46.0,41.0,1013.0,107,1220,2.7,0
2023-09-24T04:27:23.495000+00:00,9173,27.6,45.8,41.0,1013.0,121,1220,2.4,0
2023-09-24T04:28:23.509000+00:00,9173,27.5,45.7,41.0,1013.0,137,1220,2.7,0
2023-09-24T04:29:23.492000+00:00,9173,27.6,45.7,41.0,1012.9,113,1220,3.5,0
2023-09-24T04:30:23.491000+00:00,9173,27.5,45.6,42.0,1013.2,131,1220,2.7,0
2023-09-24T04:31:23.490000+00:00,9173,27.5,45.4,42.0,1013.0,127,1220,2.9,0
2023-09-24T04:32:23.521000+00:00,9173,27.4,45.4,41.0,1013.0,134,1220,2.7,0
2023-09-24T04:33:23.519000+00:00,9173,27.3,45.4,40.0,1013.0,113,1220,2.2,0
2023-09-24T04:34:23.518000+00:00,9173,27.2,45.1,41.0,1013.0,122,1220,2.7,0
2023-09-24T04:35:23.517000+00:00,9173,27.1,45.1,40.0,1013.0,110,1220,2.5,0
2023-09-24T04:36:23.532000+00:00,9173,27.3,45.0,41.0,1013.0,129,1220,2.2,0
2023-09-24T04:37:23.531000+00:00,9173,27.1,45.0,41.0,1013.0,132,1220,2.5,0
2023-09-24T04:38:23.530000+00:00,9173,27.1,45.0,41.0,1013.0,134,1220,2.2,0
2023-09-24T04:39:23.544000+00:00,9173,27.1,44.1,41.0,1013.0,131,1220,2.4,0
2023-09-24T04:40:23.543000+00:00,9173,27.2,43.8,40.0,1013.0,108,1220,2.4,0
2023-09-24T04:41:23.558000+00:00,9173,27.1,43.8,41.0,1013.0,114,1220,1.8,0
2023-09-24T04:42:23.572000+00:00,9173,27.2,43.8,41.0,1013.2,113,1220,1.5,0
2023-09-24T04:43:23.587000+00:00,9173,27.2,44.7,41.0,1013.0,100,1220,1.8,0
2023-09-24T04:44:23.601000+00:00,9173,27.1,44.7,40.0,1013.0,109,1220,1.7,0
2023-09-24T04:45:23.600000+00:00,9173,27.1,44.6,41.0,1013.0,114,1220,1.8,0
2023-09-24T04:46:23.599000+00:00,9173,27.1,44.6,40.0,1013.0,125,1220,1.8,0
2023-09-24T04:47:23.598000+00:00,9173,27.1,44.8,41.0,1013.0,113,1220,1.7,0
2023-09-24T04:48:23.613000+00:00,9173,27.1,44.3,40.0,1013.0,129,1220,2.4,0
2023-09-24T04:49:23.643000+00:00,9173,27.2,44.6,41.0,1013.0,111,1220,2.2,0
2023-09-24T04:50:23.626000+00:00,9173,27.3,44.6,41.0,1013.0,114,1220,2.0,0
2023-09-24T04:51:23.641000+00:00,9173,27.3,44.6,41.0,1013.0,106,1220,2.7,0
2023-09-24T04:52:23.640000+00:00,9173,27.5,44.5,41.0,1012.9,120,1220,2.4,0
2023-09-24T04:53:23.623000+00:00,9173,27.5,44.4,41.0,1013.0,142,1220,2.7,0
2023-09-24T04:54:23.638000+00:00,9173,27.4,44.5,41.0,1013.0,137,1220,2.7,0
2023-09-24T04:55:23.637000+00:00,9173,27.4,44.4,41.0,1012.9,112,1220,1.7,0
